iter	Passed	Remaining
0	1	144
1	2	117
2	3	108
3	4	115
4	6	121
5	7	116
6	8	108
7	9	105
8	10	101
9	11	101
10	12	100
11	13	100
12	15	100
13	16	99
14	17	97
15	18	97
16	19	96
17	20	94
18	21	92
19	22	91
20	23	89
21	24	87
22	25	85
23	26	84
24	27	83
25	28	81
26	29	79
27	30	77
28	32	79
29	33	77
30	34	77
31	35	75
32	36	74
33	37	72
34	38	71
35	39	70
36	40	69
37	42	68
38	43	67
39	44	66
40	45	65
41	46	63
42	47	62
43	48	61
44	49	61
45	51	59
46	51	58
47	52	57
48	54	56
49	55	55
50	56	54
51	57	53
52	58	51
53	59	50
54	60	49
55	61	48
56	62	47
57	63	46
58	64	45
59	65	43
60	67	42
61	68	41
62	69	40
63	70	39
64	71	38
65	72	37
66	73	35
67	73	34
68	74	33
69	75	32
70	77	31
71	78	30
72	79	29
73	80	28
74	81	27
75	82	25
76	82	24
77	83	23
78	84	22
79	85	21
80	86	20
81	87	19
82	87	18
83	88	16
84	90	15
85	90	14
86	91	13
87	92	12
88	94	11
89	96	10
90	96	9
91	97	8
92	98	7
93	99	6
94	100	5
95	101	4
96	102	3
97	103	2
98	104	1
99	104	0
